"","a","b","c","d","e","id"
"215",40,40,30,30,40,352
"216",50,50,50,50,50,353
"217",30,30,30,30,30,354
"218",50,30,10,0,10,356
"219",40,40,40,40,40,357
"220",20,10,10,10,20,358
"221",50,50,50,50,50,359
"222",0,0,0,0,10,360
"223",50,50,50,50,50,361
"224",0,0,0,0,0,362
"225",50,50,50,50,50,368
"226",50,50,50,50,50,370
"227",40,50,30,40,30,371
"228",10,30,20,10,20,372
"229",30,30,20,30,20,374
"230",0,20,0,0,10,378
"231",20,60,10,10,20,379
"232",50,50,50,50,50,380
"233",50,50,50,50,50,383
"234",50,30,40,60,30,386
"235",50,50,50,50,50,387
"236",100,90,80,90,100,391
"237",80,80,80,80,80,392
"238",50,50,60,70,40,393
"239",80,90,80,80,90,396
"240",0,0,0,0,0,398
"241",90,80,90,80,90,399
"242",80,80,80,70,80,400
"243",40,30,30,50,40,401
"244",50,50,50,50,50,402
"245",90,80,90,80,90,403
"246",100,100,100,100,100,404
"247",90,80,90,90,90,405
"248",80,80,80,90,90,406
"249",90,100,100,90,100,407
"250",50,50,50,50,50,409
"251",90,80,90,90,100,410
"252",100,100,100,100,100,411
"253",100,90,90,90,90,412
"254",90,80,90,90,70,413
"255",50,50,50,50,50,414
"256",60,70,70,80,80,415
"257",10,10,10,10,10,417
"258",30,20,20,20,30,418
"259",10,10,20,20,20,419
"260",60,50,80,80,40,422
"261",50,50,60,70,70,424
"262",10,20,30,50,30,426
"263",50,50,50,50,50,427
"264",50,50,50,50,50,429
"265",10,10,10,20,20,431
"266",50,70,60,60,70,432
"267",0,0,0,0,0,436
"268",30,30,30,30,0,437
"269",20,40,20,40,30,440
"270",50,40,60,60,50,441
"271",50,50,50,50,50,442
"272",50,50,50,50,50,443
"273",0,10,20,10,0,445
"274",50,50,50,50,50,446
"275",50,50,50,50,50,447
"276",0,0,0,0,0,449
"277",10,20,30,40,0,451
"278",50,50,50,50,50,452
"279",20,20,10,20,20,455
"280",40,50,40,10,40,457
"281",20,20,10,30,30,460
"282",0,0,0,0,0,461
"283",20,20,20,20,20,462
"284",0,0,0,0,0,463
"285",50,50,50,50,50,464
"286",50,50,50,50,50,469
"287",40,40,20,20,10,471
