id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
136,,12560.8,1,30,0,50,50,50,36,2.19,2,3,50,31212,1.4,1,50,1,14,25,17,7,24,73,1,2,0,1,0.73,4,19,2,1,2,2
137,21,20696.2,1,30,20,20,30,20,24,0.55,2,3,10,42937,-1.4,2,20,7,-4,19,26,6,23,74,1,1,0,1,0.91,13,63,2,2,2,2
138,20,14679,1,30,70,80,40,70,58,2.17,2,3,30,52725,-2.8,1,30,1,-28,22,19,15,18,74,1,2,0,1,0.91,5,24,2,1,2,2
139,20,14613.6,1,20,20,10,0,20,14,0.89,1,3,50,47758,3.6,1,20,7,6,22,18,19,16,75,1,2,0,1,0.91,8,39,2,1,2,2
140,20,11151,1,30,20,20,30,0,20,1.22,1,3,20,40972,0,2,20,5,0,18,20,16,22,76,1,2,0,1,1,7,33,2,2,2,2
141,24,23025.2,1,30,30,30,30,30,30,0,2,3,30,82597,0,2,30,1,0,22,21,13,21,77,1,2,0,1,1,9,40,2,2,2,2
142,23,6747.6,1,20,20,20,20,20,20,0,1,3,20,38705,0,2,20,1,0,20,15,17,26,78,1,2,0,1,0.91,10,49,2,2,2,2
143,27,8422,1,60,60,30,30,50,46,1.52,2,6,30,25956,-1.6,2,46,1,0,21,18,19,20,78,1,2,0,1,1,11,53,2,2,2,2
144,22,4083,1,0,0,0,0,0,0,0,1,3,0,23649,0,2,0,7,0,19,21,17,22,79,1,1,0,1,0.82,10,47,2,2,2,2
145,20,11786.4,1,0,0,10,10,0,4,0.55,1,2,0,35514,-0.4,2,0,4,-4,21,19,17,23,80,1,1,0,1,0.82,6,27,2,2,2,2
146,21,23842.6,1,0,20,0,0,0,4,0.89,1,3,0,45201,-0.4,2,4,4,0,22,20,17,22,81,1,1,0,1,1,5,20,2,2,2,2
147,20,4206,1,0,0,0,0,0,0,0,1,3,0,11883,0,2,0,3,0,19,22,14,27,82,1,2,0,1,1,9,45,2,2,2,2
148,22,13065.4,1,50,50,50,50,50,50,0,2,3,50,43211,0,1,50,1,0,17,25,20,21,83,1,1,0,1,1,10,48,2,1,2,2
149,29,4191,1,50,50,50,50,50,50,0,2,5,50,11096,0,1,50,1,0,24,31,13,16,84,1,2,0,1,1,4,17,2,1,2,2
150,23,23018.6,1,0,0,0,0,10,2,0.45,1,3,10,46802,0.8,1,0,7,-2,24,22,20,19,85,1,2,0,1,0.73,13,62,2,1,2,2
151,,8872.2,1,30,20,40,0,30,24,1.52,2,2,30,18007,0.6,1,25,7,1,19,27,20,21,87,1,1,0,1,1,3,13,2,1,2,2
152,22,12499.4,1,40,30,60,40,40,42,1.1,2,3,40,33637,-0.2,2,40,2,-2,23,21,19,25,88,1,2,0,1,0.91,2,12,2,2,2,2
153,21,19340,1,30,20,30,0,10,18,1.3,1,3,20,55044,0.2,2,20,4,2,15,23,23,29,90,1,2,0,1,1,5,21,2,2,2,2
154,24,20452.4,1,20,20,20,20,30,22,0.45,1,5,20,32631,-0.2,1,12,1,-10,19,28,24,21,92,1,1,0,1,0.82,12,57,2,1,2,2
155,26,12727.8,1,0,0,0,30,50,16,2.3,1,6,30,35555,1.4,2,14,3,-2,26,25,17,25,93,1,2,0,1,1,12,58,2,2,2,2
156,20,16929,1,0,0,0,0,0,0,0,1,3,0,45150,0,1,10,1,10,27,28,21,18,94,1,2,0,1,0.45,9,44,2,1,2,2
157,,3232.8,1,0,0,0,0,0,0,0,1,3,0,4050,0,1,0,7,0,25,30,15,26,96,1,2,0,1,0.91,1,5,2,1,2,2
